UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
110510,103,R,4311,14062
110510,85,R,4306,13926
110510,18,R,5,136
110510,208,R,570,1513
110529,96,R,7775,17455
110529,89,R,7508,16136
110529,87,R,7499,16025
110529,2,R,9,111
110529,7,R,267,1319
110538,406,R,4824,12327
110538,324,R,4532,11615
110538,320,R,4513,11472
110538,4,R,19,143
110538,82,R,292,712
110547,894,R,3494,10343
110547,559,R,3326,8800
110547,547,R,3325,8794
110547,12,R,1,6
110547,335,R,168,1543
110556,264,R,6632,17509
110556,151,R,6422,14957
110556,127,R,6421,14602
110556,24,R,1,355
110556,113,R,210,2552
110565,1829,R,10913,27493
110565,685,R,9956,23935
110565,608,R,9953,23855
110565,77,R,3,80
110565,1144,R,957,3558
110574,983,R,6930,7942
110574,918,R,6151,6338
110574,906,R,6143,6312
110574,12,R,8,26
110574,65,R,779,1604
110583,174,R,7329,30273
110583,115,R,6473,25757
110583,107,R,6459,25604
110583,8,R,14,153
110583,59,R,856,4516
110592,36,R,5362,22429
110592,34,R,5132,18908
110592,27,R,5131,18888
110592,7,R,1,20
110592,2,R,230,3521
110608,369,R,17015,22532
110608,295,R,16521,18940
110608,287,R,16445,18873
110608,8,R,76,67
110608,74,R,494,3592
110617,118,R,9968,20424
110617,117,R,9707,18127
110617,114,R,9699,18071
110617,3,R,8,56
110617,1,R,261,2297
110635,503,R,272,39379
110635,0,R,210,29100
110635,0,R,210,29099
110635,0,R,0,1
110635,503,R,62,10279
110644,0,R,239,36221
110644,0,R,237,29142
110644,0,R,220,29138
110644,0,R,17,4
110644,0,R,2,7079
110653,101,R,2337,30316
110653,11,R,2250,25070
110653,11,R,2250,25056
110653,0,R,0,14
110653,90,R,87,5246
110662,361,R,2076,41111
110662,21,R,2055,28797
110662,8,R,2054,28797
110662,13,R,1,0
110662,340,R,21,12314
110671,0,R,21,22694
110671,0,R,6,19793
110671,0,R,6,19782
110671,0,R,0,11
110671,0,R,15,2901
110680,0,A,0,34979
110680,0,A,0,28127
110680,0,A,0,28121
110680,0,A,0,6
110680,0,A,0,6852
110699,29,R,111,3005
110699,29,R,111,3005
110705,0,R,164,24182
110705,0,R,164,21410
110705,0,R,161,21409
110705,0,R,3,1
110705,0,R,0,2772
110714,0,R,803,17980
110714,0,R,803,16159
110714,0,R,803,16159
110714,0,A,0,1821
110778,146,Z,0,147
110778,10,Z,0,0
110778,9,Z,0,0
110778,1,Z,0,0
110778,136,Z,0,147
110875,0,A,0,111
110875,0,A,0,111
110918,0,A,0,18
110918,0,A,0,18
110918,0,A,0,18
111009,0,A,0,163
111009,0,A,0,163
111009,0,A,0,162
111009,0,A,0,1
111054,0,A,0,214
111054,0,A,0,214
111081,0,A,0,1455
111081,0,A,0,959
111081,0,A,0,951
111081,0,A,0,8
111081,0,A,0,496
111188,0,R,0,1107
111188,0,R,0,1107
111188,0,R,0,1107
111391,95,R,18,637
111391,95,R,18,637
111434,948,R,778,4787
111434,948,R,778,4787
111434,774,R,715,3723
111434,174,R,63,1064
111461,1460,R,3748,14758
111461,1460,R,3748,14758
111461,1239,R,3638,13056
111461,221,R,110,1702
111513,0,A,0,149
111513,0,A,0,149
111638,0,R,211,15
111638,0,R,211,15
111638,0,R,211,15
111708,0,A,0,195
111708,0,A,0,195
111717,0,A,0,300
111717,0,A,0,300
111726,0,A,0,258
111726,0,A,0,258
111744,0,A,0,167
111744,0,A,0,167
111762,0,A,0,92
111762,0,A,0,92
111799,0,A,0,73
111799,0,A,0,73
111887,2062,R,3131,15786
111887,2062,R,3131,15786
111887,1910,R,3083,14575
111887,152,R,48,1211
111896,1888,R,995,2253
111896,1888,R,995,2253
111896,1547,R,932,1735
111896,341,R,63,518
111920,1666,R,2382,9694
111920,1666,R,2382,9694
111920,1498,R,2347,8753
111920,168,R,35,941
111939,711,R,1749,19542
111939,711,R,1749,19542
111939,566,R,1660,17115
111939,145,R,89,2427
111948,0,R,32,8510
111948,0,R,26,6384
111948,0,R,26,6312
111948,0,R,0,72
111948,0,R,6,2126
111966,0,R,0,459
111966,0,R,0,92
111966,0,R,0,88
111966,0,R,0,4
111966,0,A,0,367
112075,1362,R,936,2001
112075,125,R,555,1245
112075,121,R,553,1221
112075,4,R,2,24
112075,1237,R,381,756
112084,162,R,269,280
112084,162,R,253,280
112084,160,R,250,280
112084,2,R,3,0
112084,0,R,16,0
112127,6,R,30,44
112127,6,R,30,44
112172,778,R,2214,9761
112172,778,R,2214,9761
112172,638,R,2130,8639
112172,140,R,84,1122
112181,0,A,0,89
112181,0,A,0,89
112190,1229,R,2125,17835
112190,1229,R,2125,17835
112190,1090,R,2053,16105
112190,139,R,72,1730
112251,2,R,15,2021
112251,2,R,15,2021
112260,0,A,0,1347
112260,0,A,0,1347
112260,0,A,0,1344
112260,0,A,0,3
112288,0,A,0,393
112288,0,A,0,393
112367,0,A,0,695
112367,0,A,0,695
112367,0,A,0,695
112385,8265,R,962,1479
112385,8265,R,962,1479
112385,7211,R,925,928
112385,1054,R,37,551
112394,0,R,650,0
112394,0,R,650,0
112394,0,R,649,0
112394,0,R,1,0
112446,0,R,59,335
112446,0,R,58,277
112446,0,R,58,277
112446,0,R,1,58
112455,0,A,0,59
112455,0,A,0,59
112525,0,A,0,3839
112525,0,A,0,3839
112561,266,R,555,1599
112561,266,R,555,1599
112561,244,R,546,1496
112561,22,R,9,103
112570,0,A,0,367
112570,0,A,0,367
112570,0,A,0,367
112686,733,R,659,6100
