UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
115755,2,8686,R,3875,4811
115755,4,573,R,212,361
115773,1,938,R,267,671
115773,2,753,R,213,540
115773,4,185,R,54,131
115861,1,9916,R,4278,5638
115861,2,9916,R,4278,5638
115931,1,551,R,411,140
115931,2,551,R,411,140
116226,1,283,R,22,261
116226,2,280,R,20,260
116226,4,3,R,2,1
116350,1,426,R,57,369
116350,2,426,R,57,369
116439,1,19473,R,9467,10006
116439,2,19473,R,9467,10006
116563,1,226,R,4,222
116563,2,226,R,4,222
116712,1,1220,R,309,911
116712,2,229,R,70,159
116712,4,991,R,239,752
116846,1,188,R,90,98
116846,2,79,R,39,40
116846,4,109,R,51,58
117052,1,16076,R,6373,9703
117052,2,16076,R,6373,9703
117104,1,686,R,319,367
117104,2,604,R,270,334
117104,4,82,R,49,33
117113,1,1957,R,1108,849
117113,2,1957,R,1108,849
117140,1,10150,R,4174,5976
117140,2,6674,R,2866,3808
117140,4,3476,R,1308,2168
117168,1,653,R,255,398
117168,2,611,R,240,371
117168,4,42,R,15,27
117195,1,6046,R,3310,2736
117195,2,6046,R,3310,2736
117238,1,208,R,44,164
117238,2,208,R,44,164
117247,1,19236,R,8525,10711
117247,2,19236,R,8525,10711
117274,1,4484,R,3551,933
117274,2,4484,R,3551,933
117520,1,672,R,380,292
117520,4,672,R,380,292
117548,1,290,R,139,151
117548,4,290,R,139,151
117557,1,1059,R,629,430
117557,2,252,R,134,118
117557,4,807,R,495,312
117575,1,345,R,214,131
117575,2,98,R,70,28
117575,4,247,R,144,103
117627,1,3094,R,1285,1809
117627,2,2405,R,1001,1404
117627,4,689,R,284,405
117636,1,5392,R,1966,3426
117636,2,1666,R,468,1198
117636,4,3726,R,1498,2228
117645,1,32506,R,14702,17804
117645,2,32506,R,14702,17804
117672,1,1622,R,650,972
117672,2,1067,R,328,739
117672,4,555,R,322,233
117690,1,13780,R,5583,8197
117690,2,13780,R,5583,8197
117706,1,29890,R,13521,16369
117706,2,29890,R,13521,16369
117715,1,10789,R,3373,7416
117715,2,10789,R,3373,7416
117724,1,22401,R,11791,10610
117724,2,22401,R,11791,10610
117733,1,27113,R,11586,15527
117733,2,27113,R,11586,15527
117751,1,2124,R,1346,778
117751,2,1427,R,748,679
117751,4,697,R,598,99
117788,1,29637,R,12610,17027
117788,2,29637,R,12610,17027
117803,1,262,R,63,199
117803,2,262,R,63,199
117867,1,14701,R,5790,8911
117867,2,14701,R,5790,8911
117894,1,12681,R,5767,6914
117894,2,12681,R,5767,6914
117928,1,1120,R,609,511
117928,2,1115,R,605,510
117928,4,5,R,4,1
117946,1,10363,R,4275,6088
117946,2,6624,R,2883,3741
117946,4,3739,R,1392,2347
117955,1,437,R,104,333
117955,2,437,R,104,333
118134,1,118,R,6,112
118134,2,118,R,6,112
118143,1,101,R,4,97
118143,2,101,R,4,97
118161,1,205,R,11,194
118161,2,205,R,11,194
118189,1,134,R,4,130
118189,2,134,R,4,130
118198,1,1267,R,337,930
118198,2,1267,R,337,930
118259,1,809,R,115,694
118259,2,809,R,115,694
118277,1,1756,R,392,1364
118277,2,1756,R,392,1364
118286,1,1216,R,277,939
118286,2,1216,R,277,939
118347,1,7879,R,3346,4533
118347,2,7879,R,3346,4533
118541,1,1904,R,857,1047
118541,2,1712,R,742,970
118541,4,192,R,115,77
118684,1,6698,R,2638,4060
118684,2,6698,R,2638,4060
118693,1,852,R,476,376
118693,2,852,R,476,376
118718,1,13778,R,5820,7958
118718,2,13778,R,5820,7958
118772,1,10948,R,3821,7127
118772,2,10948,R,3821,7127
118888,1,1497,R,121,1376
118888,2,917,R,1,916
118888,4,580,R,120,460
118912,1,21745,R,9226,12519
118912,2,21745,R,9226,12519
118930,1,13755,R,6159,7596
118930,2,13755,R,6159,7596
118958,1,63,R,3,60
118958,2,63,R,3,60
118967,1,1360,R,562,798
118967,2,1360,R,562,798
118976,1,24227,R,10183,14044
118976,2,24227,R,10183,14044
118994,1,254,R,189,65
118994,2,254,R,189,65
119058,1,837,R,290,547
119058,2,20,R,13,7
119058,4,817,R,277,540
119067,1,12729,R,6006,6723
119067,2,12729,R,6006,6723
119137,1,19571,R,9288,10283
119137,2,19571,R,9288,10283
119164,1,37803,R,18220,19583
119164,2,37803,R,18220,19583
119173,1,3786,R,387,3399
119173,2,3036,R,209,2827
119173,4,750,R,178,572
119216,1,20233,R,8461,11772
119216,2,20233,R,8461,11772
119270,1,1516,R,1189,327
119270,2,1516,R,1189,327
119331,1,8951,R,3913,5038
119331,2,8951,R,3913,5038
119553,1,922,R,321,601
119553,2,922,R,321,601
119605,1,28754,R,11410,17344
119605,2,14393,R,6332,8061
119605,4,14361,R,5078,9283
119678,1,4179,R,3460,719
