UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
118347,1,7879,3346,4533
118347,2,7879,3346,4533
118541,1,1904,857,1047
118541,2,1712,742,970
118541,4,192,115,77
118684,1,6698,2638,4060
118684,2,6698,2638,4060
118693,1,852,476,376
118693,2,852,476,376
118718,1,13778,5820,7958
118718,2,13778,5820,7958
118772,1,10948,3821,7127
118772,2,10948,3821,7127
118888,1,1497,121,1376
118888,2,917,1,916
118888,4,580,120,460
118912,1,21745,9226,12519
118912,2,21745,9226,12519
118930,1,13755,6159,7596
118930,2,13755,6159,7596
118958,1,63,3,60
118958,2,63,3,60
118967,1,1360,562,798
118967,2,1360,562,798
118976,1,24227,10183,14044
118976,2,24227,10183,14044
118994,1,254,189,65
118994,2,254,189,65
119058,1,837,290,547
119058,2,20,13,7
119058,4,817,277,540
119067,1,12729,6006,6723
119067,2,12729,6006,6723
119137,1,19571,9288,10283
119137,2,19571,9288,10283
119164,1,37803,18220,19583
119164,2,37803,18220,19583
119173,1,3786,387,3399
119173,2,3036,209,2827
119173,4,750,178,572
119216,1,20233,8461,11772
119216,2,20233,8461,11772
119270,1,1516,1189,327
119270,2,1516,1189,327
119331,1,8951,3913,5038
119331,2,8951,3913,5038
119553,1,922,321,601
119553,2,922,321,601
119605,1,28754,11410,17344
119605,2,14393,6332,8061
119605,4,14361,5078,9283
119678,1,3960,3292,668
119678,4,3960,3292,668
119775,1,586,393,193
119775,2,453,314,139
119775,4,133,79,54
119845,1,315,55,260
119845,2,315,55,260
119951,1,307,5,302
119951,2,307,5,302
120069,1,408,58,350
120069,2,408,58,350
120078,1,976,167,809
120078,2,976,167,809
120087,1,370,61,309
120087,2,370,61,309
120184,1,2229,645,1584
120184,2,1512,499,1013
120184,4,717,146,571
120254,1,2177,926,1251
120254,2,2175,925,1250
120254,4,2,1,1
120272,1,73,6,67
120272,2,73,6,67
120290,1,16861,8457,8404
120290,2,16861,8457,8404
120342,1,29075,14943,14132
120342,2,29075,14943,14132
120403,1,1243,401,842
120403,2,1154,380,774
120403,4,89,21,68
120421,1,10917,4874,6043
120421,2,10917,4874,6043
120537,1,2055,910,1145
120537,2,1438,652,786
120537,4,617,258,359
120661,1,1151,295,856
120661,2,1151,295,856
120698,1,1321,281,1040
120698,2,214,59,155
120698,4,1107,222,885
120768,1,1728,152,1576
120768,2,761,61,700
120768,4,967,91,876
120795,1,166,81,85
120795,4,166,81,85
120838,1,246,119,127
120838,2,23,16,7
120838,4,223,103,120
120865,1,1930,764,1166
120865,2,1902,758,1144
120865,4,28,6,22
120883,1,6952,3127,3825
120883,2,3973,1913,2060
120883,4,2979,1214,1765
120953,1,7158,5863,1295
120953,2,7158,5863,1295
120971,1,34340,18293,16047
120971,2,34340,18293,16047
121044,1,36283,16944,19339
121044,2,36283,16944,19339
121150,1,8500,3537,4963
121150,2,3698,1510,2188
121150,4,4802,2027,2775
121257,1,1094,472,622
121257,2,1094,472,622
121275,1,275,196,79
121275,2,275,196,79
121309,1,4621,1543,3078
121309,2,3062,1086,1976
121309,4,1559,457,1102
121345,1,1661,826,835
121345,2,1661,826,835
121363,1,5322,2101,3221
121363,2,5322,2101,3221
121433,1,146,11,135
121433,2,146,11,135
121619,1,46704,29346,17358
121619,2,46704,29346,17358
121628,1,107,59,48
121628,4,107,59,48
121637,1,129,4,125
121637,2,129,4,125
121691,1,6061,2709,3352
121691,2,3848,1709,2139
121691,4,2213,1000,1213
121707,1,6235,2837,3398
121707,2,6235,2837,3398
121859,1,241,13,228
121859,2,241,13,228
121868,1,153,3,150
121868,2,153,3,150
121886,1,28014,16067,11947
121886,2,28014,16067,11947
121901,1,27802,11975,15827
121901,2,27802,11975,15827
121983,1,470,147,323
121983,2,170,54,116
121983,4,300,93,207
121992,1,218,65,153
121992,2,218,65,153
122117,1,337,156,181
122117,2,79,39,40
122117,4,258,117,141
122126,1,216,25,191
122126,2,43,3,40
122126,4,173,22,151
122180,1,32814,14063,18751
122180,2,32814,14063,18751
122205,1,30330,13521,16809
122205,2,30330,13521,16809
122296,1,2030,487,1543
122296,2,851,159,692
122296,4,1179,328,851
122339,1,25862,12141,13721
122339,2,25862,12141,13721
122366,1,244,231,13
122366,2,244,231,13
122375,1,36580,17349,19231
122375,2,36580,17349,19231
122384,1,22005,12369,9636
122384,2,22005,12369,9636
122409,1,36451,16302,20149
122409,2,30960,14117,16843
122409,4,5491,2185,3306
122436,1,9267,4027,5240
122436,2,6166,2821,3345
122436,4,3101,1206,1895
122454,1,752,282,470
122454,2,541,202,339
122454,4,211,80,131
122506,1,395,190,205
122506,2,167,92,75
122506,4,228,98,130
122597,1,33538,14548,18990
122597,2,29787,13155,16632
122597,4,3751,1393,2358
122603,1,194,104,90
122603,4,194,104,90
122612,1,12353,4610,7743
122612,2,7469,2895,4574
122612,4,4884,1715,3169
122649,1,188,100,88
122649,4,188,100,88
122658,1,25070,10493,14577
122658,2,25070,10493,14577
122685,1,9189,2731,6458
122685,2,9189,2731,6458
122728,1,1439,584,855
122728,2,1286,532,754
122728,4,153,52,101
122746,1,12811,5595,7216
122746,2,12811,5595,7216
122755,1,34395,17561,16834
122755,2,27855,14541,13314
122755,4,6540,3020,3520
122791,1,13890,6826,7064
